country,continent,deaths_100k_people_year,deaths_100k_vechicles_year,deaths_1b_km ,total_deaths,who_report_year
Afghanistan,Asia,15.5,722.4,,4734,2013
Albania,Europe,15.1,107.2,,478,2016
Algeria,Africa,23.8,127.8,,9337,2013
Andorra,Europe,7.6,7.9,,6,2013
Angola,Africa,26.9,992,,5769,2013
Antigua and Barbuda,North America,6.7,20,,6,2013
Argentina,South America,13.6,24.3,,5619,2013
Armenia,Europe,18.3,18.2,,546,2016
Australia,Oceania,4.5,7.4,5.2,1131,2018[9]
Austria,Europe,5.4,6.1,5.1,455,2016
Azerbaijan,Europe,10,70.9,,943,2016
Bahamas,North America,13.8,36,,52,2013
Bahrain,Asia,5.2,14.3,,78,2017[nb 2][10]
Bangladesh,Asia,13.6,1020.6,,21316,2013
Barbados,North America,6.7,16.9,,19,2013
Belarus,Europe,13.7,32.9,,1282,2016
Belgium,Europe,5.4,9,7.3,657,2019[11]
Belize,North America,24.4,26,,81,2013
Benin,Africa,27.5,635.6,,2986,2016
Bhutan,Asia,15.1,167.2,,114,2013
Bolivia,South America,23.2,205.2,,3476,2013
Bosnia and Herzegovina,Europe,17.7,76.7,,676,2016
Botswana,Africa,23.6,91.6,,477,2013
Brazil,South America,23.4,57.5,,46935,2013
Bulgaria,Europe,9,17.2,,601,2019[11]
Burkina Faso,Africa,30,328.1,,5072,2013
Cambodia,Asia,17.4,107.2,,2635,2013
Cameroon,Africa,27.6,1385.1,,6136,2013
Canada,North America,5.8,8.9,5.1,2118,2016
Cape Verde,Africa,26.1,229,,130,2013
Central African Rep.,Africa,33.6,4484.4,,1546,2016
Chad,Africa,24.1,497,,3089,2013
Chile,South America,12.4,51.1,,2179,2013
China,Asia,18.8,104.5,,261367,2016
Colombia,South America,16.8,83.3,,8107,2013
Congo,Africa,26.4,1063,,1174,2013
Cook Islands,Oceania,24.2,40.2,,5,2013
Costa Rica,North America,13.9,38.4,,676,2013
Croatia,Europe,7.3,21.1,,340,2019
Cuba,North America,7.5,133.7,,840,2013
Cyprus,Europe,5.9,9.2,,60,2019
Czechia,Europe,5.8,8.6,11.5,630,2019
Dem. Rep. Congo,Africa,33.7,,,26529,2016
Denmark,Europe,3.4,7.2,3.9,227,2019
Djibouti,Africa,24.7,,,216,2013
Dominica,North America,15.3,44.7,,11,2013
Dominican Rep.,North America,29.3,94.9,,3052,2013
Ecuador,South America,20.1,183.8,,3164,2013
Egypt,Africa,12.8,148.7,,10466,2013
El Salvador,North America,21.1,163.7,,1339,2013
Eritrea,Africa,24.1,2171.5,,1527,2013
Estonia,Europe,7,12.8,,90,2016
Ethiopia,Africa,26.7,385.7,,27326,2016
Fiji,Oceania,5.8,58.9,,51,2013
Finland,Europe,3.8,5,5.1,260,2019
France,Europe,5,8.4,5.8,3585,2019
Gabon,Africa,22.9,196.4,,383,2013
Gambia,Africa,29.4,998.7,,544,2013
Georgia,Europe,11.8,32.6,,449,2021
Germany,Europe,3.7,6.4,4.2,3327,2019
Ghana,Africa,26.2,443.1,,6789,2013
Greece,Europe,6.5,12.8,,699,2019
Guatemala,North America,19,114.7,,2939,2013
Guinea,Africa,28.2,1343.7,,3490,2016
Guinea-Bissau,Africa,27.5,751.9,,468,2013
Guyana,South America,17.3,864.4,,138,2013
Honduras,North America,17.4,1021.7,,1408,2013
Hong Kong,Asia,1.3,12.2,7.3,97,2020[12]
Hungary,Europe,6.2,20.7,,756,2019[11]
Iceland,Europe,3.8,7.6,4.9,8,2018
India,Asia,16.6,130.1,,207551,2016
Indonesia,Asia,15.3,36.7,,38279,2016
Iran,Asia,20.5,54.1,,16426,2016
Iraq,Asia,20.2,151.2,,6826,2013
Ireland,Europe,2.9,7.5,3.8,194,2019[11]
Israel,Asia,4.2,10.7,5.9,345,2016
Italy,Europe,5.2,6.3,,3333,2019[11]
Ivory Coast,Africa,24.2,828.9,,4924,2013
Jamaica,North America,11.5,61.7,,320,2013
Japan,Asia,4.1,5.7,6.4,5224,2016
Jordan,Asia,7.65,49.9,,750[15],2016[15]
Kazakhstan,Asia,24.2,101.4,,3983,2016
Kenya,Africa,29.1,640.7,,12891,2013
Kiribati,Oceania,2.9,86.9,,3,2013
Kuwait,Asia,18.7,34.2,,629,2013
Kyrgyzstan,Asia,22,127.3,,1220,2016
Laos,Asia,14.3,67.5,,971,2013
Latvia,Europe,6.9,24.8,,205,2019[11]
Lebanon,Asia,22.6,64.8,,1088,2016
Lesotho,Africa,28.2,474.8,,584,2013
Liberia,Africa,35.9,,,1657,2016
Libya,Africa,26.1,46.3,,1645,2016
Lithuania,Europe,6.6,16.1,,234,2019[11]
Luxembourg,Europe,8.7,9.9,,46,2016
North Macedonia,Europe,9.4,49.1,,198,2016
Madagascar,Africa,28.4,2963,,6506,2013
Malawi,Africa,31,,,5601,2016
Malaysia,Asia,23.6,29.8,16.2[nb 3],7374,2016
Maldives,Asia,3.5,19.5,,12,2013
Mali,Africa,25.6,1352.5,,3920,2013
Malta,Europe,5.1,6.8,,22,2016
Marshall Islands,Oceania,5.7,141.8,,3,2013
Mauritania,Africa,24.5,228.7,,952,2013
Mauritius,Africa,12.2,35.6,,158,2013
Mexico,North America,12.3,43,27.5,15062,2013
Micronesia,Oceania,1.9,24,,2,2013
Mongolia,Asia,21,88.4,,597,2016
Montenegro,Europe,10.7,31.7,,67,2016
Morocco,Africa,18,209,,6870,2013
Mozambique,Africa,31.6,1507,,8173,2013
Myanmar,Asia,20.3,250.8,,10809,2013
Namibia,Africa,23.9,196.4,,551,2013
Nepal,Asia,17,399.8,,4713,2013
Netherlands,Europe,3.8,6,4.7,648,2019[11]
New Zealand,Oceania,7.8,10,7.2,364,2016
Nicaragua,North America,15.3,164.3,,931,2013
Niger,Africa,26.4,1491.1,,4706,2013
Nigeria,Africa,20.5,615.4,,35621,2013
Norway,Europe,2,3,3,110,2019[11]
Oman,Asia,25.4,85.3,,924,2013
Pakistan,Asia,14.2,283.9,,25781,2013
Palau,Oceania,4.8,14.1,,1,2013
Panama,North America,10,38.4,,386,2013
Papua New Guinea,Oceania,16.8,1306.5,,1232,2013
Paraguay,South America,20.7,114.7,,1408,2013
Peru,South America,13.9,99.3,,4234,2013
Philippines,Asia,10.5,135,,10379,2013
Poland,Europe,7.7,13.5,,3698,2019[11]
Portugal,Europe,6.3,11.7,,768,2019[11]
Qatar,Asia,6,27.1,,161,2021
Republic of Moldova,Europe,12.5,61.8,,437,2016
Romania,Europe,9.6,31.4,,1881,2019[11]
Russia,Europe,11.6,50,,16981,2019
Rwanda,Africa,32.1,3521.1,,3782,2013
Saint Lucia,North America,18.1,2103.3,,33,2013
Saint Vincent and the Grenadines,North America,8.2,31.7,,9,2013
Samoa,Oceania,15.8,171.9,,30,2013
San Marino,Europe,3.2,1.8,,1,2013
São Tomé and Príncipe,Africa,27.5,161.5,,55,2016
Saudi Arabia,Asia,27.4,119.7,,7898,2013
Senegal,Africa,27.2,956.4,,3844,2013
Serbia,Europe,7.6,28.4,,649,2019
Seychelles,Africa,8.6,43,,8,2013
Sierra Leone,Africa,27.3,2414.2,,1661,2013
Singapore,Asia,3.6,20.2,,197,2013
Slovakia,Europe,4.5,12.7,,330,2019[11]
Slovenia,Europe,4.9,9.5,7,134,2019[11]
Solomon Islands,Oceania,19.2,240,,108,2013
Somalia,Africa,25.4,6532.5,,3884,2016
South Africa,Africa,25.1,133.9,,13273,2013
South Korea,Asia,6.5,13,13.8,3349,2019[16]
Spain,Europe,3.7,5.8,,1922,2019[11]
Sri Lanka,Asia,17.4,70.9,,3691,2013
Sudan,Africa,24.3,2872.8,,9221,2013
Suriname,South America,19.1,49.7,,103,2013
Eswatini,Africa,24.2,1667.4,,303,2013
Sweden,Europe,2.2,4.6,3.3,223,2019[11]
Switzerland,Europe,2.2,3.7,3.2,223,2019[11]
Taiwan,Asia,12.1,,,2865,2019[nb 4][nb 2][17]
Tajikistan,Asia,18.8,374.9,,1543,2016
Tanzania,Africa,32.9,1073.7,,16211,2013
Thailand,Asia,32.7,60.2,,22491,2016
Timor-Leste,Asia,16.6,295.8,,188,2013
Togo,Africa,31.1,3653.4,,2123,2013
Tonga,Oceania,7.6,98.1,,8,2013
Trinidad and Tobago,North America,14.1,58.9,,189,2013
Tunisia,Africa,24.4,154.4,,2679,2013
Turkey,Asia,12.3,46.4,,9782,2016
Turkmenistan,Asia,17.4,107.8,,914,2016
Uganda,Africa,27.4,836.8,,10280,2013
Ukraine,Europe,13.7,42.2,,6089,2016
United Arab Emirates,Asia,18.1,62.7,,1678,2013
United Kingdom,Europe,2.9,5.7,3.8,2026,2019[11]
United States of America,North America,12.4,14.2,7.3,39888,2018
Uruguay,South America,13.4,19.6,,460,2016
Uzbekistan,Asia,11.5,,,3617,2016
Vanuatu,Oceania,16.6,300,,42,2013
Vietnam,Asia,24.5,55,,22419,2013
Yemen,Asia,21.5,436.6,,5248,2013
Zambia,Africa,24.7,670.9,,3586,2013
Zimbabwe,Africa,28.2,429.8,,3985,2013